setup,scenario,rmse_extreme
CERA,historical,12.086630111576438
CERA,ssp126,14.553633672039073
CERA,ssp245,16.87109011825231
CERA,ssp370,26.933483492209408
CERA,ssp585,34.04947541755726
Baseline simple,historical,19.15742768664788
Baseline simple,ssp126,31.047148392183324
Baseline simple,ssp245,34.92658570497286
Baseline simple,ssp370,140.46151653121765
Baseline simple,ssp585,123.53274551329972
Baseline no align,historical,9.654683368637036
Baseline no align,ssp126,11.932646873105273
Baseline no align,ssp245,14.287655936983633
Baseline no align,ssp370,34.77439753351378
Baseline no align,ssp585,32.759726672455464
Baseline physical,historical,41.63279478456646
Baseline physical,ssp126,21.577758610015024
Baseline physical,ssp245,30.883767704382244
Baseline physical,ssp370,90.54543503943249
Baseline physical,ssp585,26.195551030667964
Baseline ClimaX,historical,16.728786747127433
Baseline ClimaX,ssp126,18.337755311996457
Baseline ClimaX,ssp245,18.522123191850138
Baseline ClimaX,ssp370,19.587772434190754
Baseline ClimaX,ssp585,20.735838807901455
