setup,scenario,rmse_global
CERA,historical,3.9072054714543754
CERA,ssp126,4.714104519663768
CERA,ssp245,5.415207324141674
CERA,ssp370,8.614028508202253
CERA,ssp585,10.87340920113838
CERA full latent,historical,5.345304239578791
CERA full latent,ssp126,7.105997523242699
CERA full latent,ssp245,5.602194001440456
CERA full latent,ssp370,10.90791266640008
CERA full latent,ssp585,6.929429026111778
CERA swdn,historical,4.658260736270082
CERA swdn,ssp126,5.863887613761754
CERA swdn,ssp245,4.744937845977719
CERA swdn,ssp370,12.240646408852013
CERA swdn,ssp585,6.533109758162131
CERA adversarial,historical,4.674557399507766
CERA adversarial,ssp126,5.8487170249564135
CERA adversarial,ssp245,5.627493983227836
CERA adversarial,ssp370,11.713605798376845
CERA adversarial,ssp585,6.579062188305642
