setup,scenario,reference_scenario,rmse_ratio
CERA,ssp126,historical,0.845432210204878
CERA,ssp245,historical,1.076588854124535
CERA,ssp370,historical,2.207437241779262
CERA,ssp585,historical,0.8431143676923157
Baseline simple,ssp126,historical,0.46419076658951824
Baseline simple,ssp245,historical,0.8565850049651846
Baseline simple,ssp370,historical,4.647562371473619
Baseline simple,ssp585,historical,0.6794116870637252
Baseline physical,ssp126,historical,0.5258612113293842
Baseline physical,ssp245,historical,0.7471255485066807
Baseline physical,ssp370,historical,2.191677581067775
Baseline physical,ssp585,historical,0.6364385796109658
Baseline ClimaX,ssp126,historical,1.0995042442396248
Baseline ClimaX,ssp245,historical,1.1107824976825391
Baseline ClimaX,ssp370,historical,1.2001357825224395
Baseline ClimaX,ssp585,historical,1.3071067294642829
Baseline no align,ssp126,historical,0.9199837246199425
Baseline no align,ssp245,historical,0.9164423210592186
Baseline no align,ssp370,historical,1.9344891093814534
Baseline no align,ssp585,historical,1.0292610873337622
