setup,variable,r2_mean
CERA,hus500,0.9694227334436549
CERA,hus850,0.9723418487998803
CERA,huss,0.9829670325093897
CERA,psl,0.9900082871680936
CERA,rsds,0.9063133211928569
CERA,sfcWind,0.9654360716612457
CERA,ta500,0.9835883056318588
CERA,ta850,0.9815860380744639
CERA,tas,0.9790387384762742
CERA,ua500,0.9829980569485837
CERA,ua850,0.9759901072566757
CERA,va500,0.9746908553568803
CERA,va850,0.9703323018565744
CERA,wap500,0.9384565522009447
CERA,zg500,0.9860923121382598
Baseline no align,hus500,0.9748400797873575
Baseline no align,hus850,0.9751622392925864
Baseline no align,huss,0.9854151083117493
Baseline no align,psl,0.9924897187538397
Baseline no align,rsds,0.917942349796126
Baseline no align,sfcWind,0.9699849224361825
Baseline no align,ta500,0.9869856602843463
Baseline no align,ta850,0.9847593494585446
Baseline no align,tas,0.9825863314371347
Baseline no align,ua500,0.9850596801516904
Baseline no align,ua850,0.9791394420829084
Baseline no align,va500,0.9809720358079002
Baseline no align,va850,0.9755313192309643
Baseline no align,wap500,0.9499832182122694
Baseline no align,zg500,0.9928938495516799
CERA swdn,hus500,0.9558806281428895
CERA swdn,hus850,0.9494807871685321
CERA swdn,huss,0.9669258208492666
CERA swdn,psl,0.9755171476469778
CERA swdn,rsds,0.8639014859407321
CERA swdn,sfcWind,0.9254614566533309
CERA swdn,ta500,0.9720839931552876
CERA swdn,ta850,0.9725208605198974
CERA swdn,tas,0.9577246565401542
CERA swdn,ua500,0.9701255491476559
CERA swdn,ua850,0.9611760171588454
CERA swdn,va500,0.9514991228522938
CERA swdn,va850,0.9126027280484227
CERA swdn,wap500,0.8929046214955066
CERA swdn,zg500,0.9778992880287755
